Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
20c5,21f9,239d,-16.3,-31.7,-52.7
20c5,21f9,239d,-16.3,-31.7,-52.7
21c4,221a,2395,-29.05,-33.35,-52.3
2245,21ec,237d,-35.5,-31.05,-51.1
2.10E+03,213b,2355,-30.55,-22.2,-49.1
1f78,1d8a,2116,0.35,25.05,-20.35
1f78,1d8a,2116,0.35,25.05,-20.35
1d89,1d20,20ef,25.1,30.35,-18.4
1d89,1d20,20ef,25.1,30.35,-18.4
1d9e,1dfc,212a,24.05,19.35,-21.35
1dee,1ef2,2135,20.05,7.05,-21.9
1e3f,1fa3,2109,16,-1.8,-19.7
1.00E+62,1f84,20f1,14.25,-0.25,-18.5
1.00E+62,1f84,20f1,14.25,-0.25,-18.5
1.00E+64,1f94,20eb,14.15,-1.05,-18.2
1.00E+64,1f94,20eb,14.15,-1.05,-18.2
1f3d,2.00E+06,208f,3.3,-17.9,-13.6
2064,221d,1f46,-11.45,-33.5,2.85
2064,221d,1f46,-11.45,-33.5,2.85
210b,21cf,1f5d,-19.8,-29.6,1.7
2222,1.00E+86,1e9c,-33.75,12.45,11.35
2222,1.00E+86,1e9c,-33.75,12.45,11.35
2073,1c88,1fd8,-12.2,37.95,-4.45
2073,1c88,1fd8,-12.2,37.95,-4.45
1fb8,1c28,207d,-2.85,42.75,-12.7
1fb8,1c28,207d,-2.85,42.75,-12.7
1fc5,1cd3,2042,-3.5,34.2,-9.75
2026,1e1b,1f36,-8.35,17.8,3.65
206d,1.00E+97,1ea2,-11.9,11.6,11.05
207c,1ec5,1.00E+43,-12.65,9.3,15.8
207c,1ec5,1.00E+43,-12.65,9.3,15.8
20bc,1e8c,1.00E+89,-15.85,12.15,12.3
20bc,1e8c,1.00E+89,-15.85,12.15,12.3
20c9,1dd5,1.00E+10,-16.5,21.3,18.35
1.00E+93,1.00E+16,1d6f,11.8,18.05,26.4
1c8f,1fb2,1fbc,37.6,-2.55,-3.05
1d54,2079,1eac,27.75,-12.5,10.55
1d54,2079,1eac,27.75,-12.5,10.55
1dd8,2011,1f16,21.15,-7.3,5.25
1eb0,1ef2,1f5a,10.35,7.05,1.85
1eb0,1ef2,1f5a,10.35,7.05,1.85
1f93,1f40,2031,-1,3.15,-8.9
1f93,1f40,2031,-1,3.15,-8.9
1fc3,1f8b,200f,-3.4,-0.6,-7.2
1fe0,1f6f,216c,-4.85,0.8,-24.65
1fe0,1f6f,216c,-4.85,0.8,-24.65
204b,1fbf,22b9,-10.2,-3.2,-41.3
2078,1f5b,211d,-12.45,1.8,-20.7
2031,1f00,205e,-8.9,6.35,-11.15
1fb6,1ed9,1f44,-2.75,8.3,2.95
1f97,1df8,1ccc,-1.2,19.55,34.55
1fe2,1d26,1a5f,-4.95,30.05,65.6
201d,1c9d,184a,-7.9,36.9,92.25
1fe4,1d09,1877,-5.05,31.5,90
1f96,1e7d,1aa2,-1.15,12.9,62.25
1fe2,204f,211d,-4.95,-10.4,-20.7
1fbb,1f5a,2099,-3,1.85,-14.1
1fbb,1f5a,2099,-3,1.85,-14.1
1f63,1ee9,200a,1.4,7.5,-6.95
1f26,1eca,201c,4.45,9.05,-7.85
1f29,1f10,208c,4.3,5.55,-13.45
1f4f,1f30,214e,2.4,3.95,-23.15
1f4f,1f30,214e,2.4,3.95,-23.15
1f2f,1f23,222a,4,4.6,-34.15
1f7b,1f2d,21c2,0.2,4.1,-28.95
1fe5,1ed8,2160,-5.1,8.35,-24.05
204d,1eba,2.00E+10,-10.3,9.85,-18.1
2081,1ed3,20c9,-12.9,8.6,-16.5
2086,1ee6,2155,-13.15,7.65,-23.5
205a,1f0f,2207,-10.95,5.6,-32.4
2019,1f25,219c,-7.7,4.5,-27.05
1ff5,1f65,2159,-5.9,1.3,-23.7
1ff2,1f5b,214f,-5.75,1.8,-23.2
1ff2,1f5b,214f,-5.75,1.8,-23.2
1ff9,1f3f,2121,-6.1,3.2,-20.9
1fe5,1eee,2107,-5.1,7.25,-19.6
1f85,1ecb,20ee,-0.3,9,-18.35
1f2f,1f05,20bc,4,6.1,-15.85
1f0e,1f39,2056,5.65,3.5,-10.75
1f46,1f70,2013,2.85,0.75,-7.4
1f8b,1f66,1fea,-0.6,1.25,-5.35
1fd9,1f53,2065,-4.5,2.2,-11.5
1-Feb,1f53,212a,-5.4,2.2,-21.35
1ffe,1fb2,21c0,-6.35,-2.55,-28.85
202a,201e,21d5,-8.55,-7.95,-29.9
201b,2.00E+06,21a2,-7.8,-17.9,-27.35
201b,2.00E+06,21a2,-7.8,-17.9,-27.35
203b,20c0,2149,-9.4,-16.05,-22.9
207c,2100,224b,-12.65,-19.25,-35.8
2129,20af,23f9,-21.3,-15.2,-57.3
2051,204e,2118,-10.5,-10.35,-20.45
2051,204e,2118,-10.5,-10.35,-20.45
2068,2026,218c,-11.65,-8.35,-26.25
209d,2003,23ef,-14.3,-6.6,-56.8
20c5,1f32,2.30E+05,-16.3,3.85,-56.25
200d,1f26,22d0,-7.1,4.45,-42.45
1fb1,1f48,2360,-2.5,2.75,-49.65
1fc5,1f8a,2476,-3.5,-0.55,-63.55
