
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2
581,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
583,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
590,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
593,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
605,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
608,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
611,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
614,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
624,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
630,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
634,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
637,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
644,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
654,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
661,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
664,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
666,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
671,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
674,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
681,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
684,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
693,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
696,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
703,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
707,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
713,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
718,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
721,10.709138,-10.901267,-0.185823,-0.185823,0.964852,6.302373,32.471191,0.533631,-0.109775,0.838563
724,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
732,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
735,20.694559,2.706513,0.044173,-0.353386,0.934434,6.302373,32.471191,0.533631,-0.109775,0.838563
