Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
2138,1f4b,1ed4,-22.05,2.6,8.55
21af,1f53,1dfc,-28,2.2,19.35
21ed,1f56,1.00E+97,-31.1,2.05,11.6
2212,1f55,1f83,-32.95,2.1,-0.2
2.10E+01,1f56,1f00,-30.45,2.05,6.35
21bc,1f57,1ece,-28.65,2,8.85
2281,1f78,199d,-38.5,0.35,75.3
2281,1f78,199d,-38.5,0.35,75.3
24a2,1f8c,1afa,-65.75,-0.65,57.85
27d1,1fd8,1f39,-106.5,-4.45,3.5
27d1,1fd8,1f39,-106.5,-4.45,3.5
2844,1fd5,1f18,-112.25,-4.3,5.15
288d,1fd8,1f8e,-115.9,-4.45,-0.75
2881,1fc9,20f9,-115.3,-3.7,-18.9
28a8,1fc0,220b,-117.25,-3.25,-32.6
289c,1fa1,2253,-116.65,-1.7,-36.2
287a,1fa4,2265,-114.95,-1.85,-37.1
281d,1f8d,2234,-110.3,-0.7,-34.65
2796,1f84,21f1,-103.55,-0.25,-31.3
26d4,1f6e,2105,-93.85,0.85,-19.5
25d2,1f71,2015,-80.95,0.7,-7.5
2556,1f49,206b,-74.75,2.7,-11.8
2491,1f40,20fb,-64.9,3.15,-19
23cb,1f4b,21d7,-55,2.6,-30
2323,1f4e,226b,-46.6,2.45,-37.4
227c,1f39,2204,-38.25,3.5,-32.25
2159,1f40,2073,-23.7,3.15,-12.2
2159,1f40,2073,-23.7,3.15,-12.2
20d7,1f4a,2059,-17.2,2.65,-10.9
207c,1f46,1fac,-12.65,2.85,-2.25
207c,1f46,1fac,-12.65,2.85,-2.25
207c,1f46,1fac,-12.65,2.85,-2.25
2091,1f41,1f1a,-13.7,3.1,5.05
20bd,1f43,1f47,-15.9,3,2.8
20bd,1f43,1f47,-15.9,3,2.8
2117,1f41,1f96,-20.4,3.1,-1.15
2117,1f41,1f96,-20.4,3.1,-1.15
214f,1f46,1f2c,-23.2,2.85,4.15
2180,1f46,1f5d,-25.65,2.85,1.7
21a3,1f44,1ff6,-27.4,2.95,-5.95
221b,1f33,1efa,-33.4,3.8,6.65
221b,1f33,1efa,-33.4,3.8,6.65
221a,1f45,1f29,-33.35,2.9,4.3
222e,1f38,1f91,-34.35,3.55,-0.9
2245,1f3a,1f9f,-35.5,3.45,-1.6
226d,1f36,1fa7,-37.5,3.65,-2
2271,1f3c,1f9d,-37.7,3.35,-1.5
2239,1f39,1f7d,-34.9,3.5,0.1
2239,1f39,1f7d,-34.9,3.5,0.1
2216,1f39,2023,-33.15,3.5,-8.2
21cb,1f41,1fae,-29.4,3.1,-2.35
21cb,1f41,1fae,-29.4,3.1,-2.35
2180,1f3c,1f6f,-25.65,3.35,0.8
2180,1f3c,1f6f,-25.65,3.35,0.8
2146,1f3f,1f0e,-22.75,3.2,5.65
211a,1f3e,1edf,-20.55,3.25,8
20ec,1f44,1f1c,-18.25,2.95,4.95
20dc,1f50,1fb6,-17.45,2.35,-2.75
20bd,1f3b,1fd1,-15.9,3.4,-4.1
214d,1f47,1fc4,-23.1,2.8,-3.45
2168,1f40,1f7f,-24.45,3.15,0
21a0,1f3d,1f30,-27.25,3.3,3.95
2241,1f42,1ed2,-35.3,3.05,8.65
224c,1f31,1f49,-35.85,3.9,2.7
224c,1f3a,1f5f,-35.85,3.45,1.6
2211,1f32,1f6e,-32.9,3.85,0.85
2211,1f32,1f6e,-32.9,3.85,0.85
224d,1f35,1f8f,-35.9,3.7,-0.8
2295,1f29,1f78,-39.5,4.3,0.35
22ad,1f2c,1f3a,-40.7,4.15,3.45
22b5,1f2f,1f54,-41.1,4,2.15
22be,1f3b,1f9c,-41.55,3.4,-1.45
22cb,1f33,1f92,-42.2,3.8,-0.95
22c4,1f30,1f24,-41.85,3.95,4.55
229c,1f2f,1f70,-39.85,4,0.75
225b,1f34,1f7b,-36.6,3.75,0.2
2228,1f38,1f3f,-34.05,3.55,3.2
21d4,1f3c,1ee9,-29.85,3.35,7.5
2198,1f3d,1f43,-26.85,3.3,3
214f,1f3a,1f07,-23.2,3.45,6
20ee,1f32,1ef2,-18.35,3.85,7.05
20c6,1f3c,1f8c,-16.35,3.35,-0.65
209c,1f39,2044,-14.25,3.5,-9.85
2071,1f3e,202b,-12.1,3.25,-8.6
2070,1f40,1fbd,-12.05,3.15,-3.1
2080,1f47,1f54,-12.85,2.8,2.15
207c,1f3b,1ef3,-12.65,3.4,7
207c,1f3b,1ef3,-12.65,3.4,7
2052,1f3d,1f09,-10.55,3.3,5.9
2002,1f48,1ee3,-6.55,2.75,7.8
1fd0,1f45,1ef2,-4.05,2.9,7.05
