Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
201b,21f5,201d,-7.8,-31.5,-7.9
1fe1,21d0,1fb3,-4.9,-29.65,-2.6
1f8a,219d,1f59,-0.55,-27.1,1.9
1f85,2166,1f0f,-0.3,-24.35,5.6
1f99,2115,1efa,-1.3,-20.3,6.65
1fba,20b7,1f1b,-2.95,-15.6,5
1fd6,208d,1f3c,-4.35,-13.5,3.35
1fe1,209a,1f76,-4.9,-14.15,0.45
1fd1,20b7,1f75,-4.1,-15.6,0.5
1fc7,20c9,1f33,-3.6,-16.5,3.8
1fae,20d3,1f1a,-2.35,-17,5.05
1f98,20c3,1f0d,-1.25,-16.2,5.7
1f9a,20a8,1f28,-1.35,-14.85,4.35
1fa7,20a3,1f2a,-2,-14.6,4.25
1fc6,20c8,1f28,-3.55,-16.45,4.35
1fe7,2.00E+09,1f4a,-5.2,-18.05,2.65
201e,2141,1f97,-7.95,-22.5,-1.2
201e,2141,1f97,-7.95,-22.5,-1.2
202f,2172,1f9f,-8.8,-24.95,-1.6
2047,2180,1fd9,-10,-25.65,-4.5
2065,216e,1fed,-11.5,-24.75,-5.5
2079,215f,1ff6,-12.5,-24,-5.95
2080,215c,1fbb,-12.85,-23.85,-3
2071,214d,1f8b,-12.1,-23.1,-0.6
2056,2116,1f8b,-10.75,-20.35,-0.6
2036,20f7,1f98,-9.15,-18.8,-1.25
202c,20d3,1f9f,-8.65,-17,-1.6
2024,20cd,1fa8,-8.25,-16.7,-2.05
2029,20b2,1f8e,-8.5,-15.35,-0.75
2027,208b,1f92,-8.4,-13.4,-0.95
2010,2056,1fb6,-7.25,-10.75,-2.75
1fe5,204b,1f55,-5.1,-10.2,2.1
1fe5,204b,1f55,-5.1,-10.2,2.1
1fcf,205a,1f36,-4,-10.95,3.65
1fd0,204f,1f0d,-4.05,-10.4,5.7
1fc9,2059,1f07,-3.7,-10.9,6
1fc9,2059,1f07,-3.7,-10.9,6
1ede,2114,214d,8.05,-20.25,-23.1
1ede,2114,214d,8.05,-20.25,-23.1
1f0d,217e,2005,5.7,-25.55,-6.7
1ef8,21fe,1f84,6.75,-31.95,-0.25
1fde,21b3,1fa1,-4.75,-28.2,-1.7
1fde,21b3,1fa1,-4.75,-28.2,-1.7
205b,2170,1fc1,-11,-24.85,-3.3
2093,2154,1f95,-13.8,-23.45,-1.1
206d,211c,1f56,-11.9,-20.65,2.05
201d,20b9,1f50,-7.9,-15.7,2.35
1fd8,2062,1f38,-4.45,-11.35,3.55
1fad,2044,1f16,-2.3,-9.85,5.25
1fa6,202b,1ef9,-1.95,-8.6,6.7
1fbc,2027,1eee,-3.05,-8.4,7.25
1fd5,2054,1f00,-4.3,-10.65,6.35
1fd5,2095,1f0c,-4.3,-13.9,5.75
1fdf,20de,1f40,-4.8,-17.55,3.15
1ffa,211f,1f53,-6.15,-20.8,2.2
2011,2171,1f68,-7.3,-24.9,1.15
203c,21d4,1f7a,-9.45,-29.85,0.25
2073,2235,1f88,-12.2,-34.7,-0.45
2096,224c,1f6f,-13.95,-35.85,0.8
209d,224b,1f58,-14.3,-35.8,1.95
2043,2215,1fae,-9.8,-33.1,-2.35
2012,21f2,1f4d,-7.35,-31.35,2.5
1fe9,21a6,1f2f,-5.3,-27.55,4
1fb4,2100,1eef,-2.65,-19.25,7.2
1fb4,2100,1eef,-2.65,-19.25,7.2
1fa8,20dc,1f02,-2.05,-17.45,6.25
1fab,20ed,1f12,-2.2,-18.3,5.45
1fc2,2124,1f23,-3.35,-21.05,4.6
1fed,2166,1f48,-5.5,-24.35,2.75
2014,21a2,1f61,-7.45,-27.35,1.5
2031,21fa,1f4c,-8.9,-31.75,2.55
2059,2253,1f56,-10.9,-36.2,2.05
205e,228a,1f5b,-11.15,-38.95,1.8
205d,22c7,1f42,-11.1,-42,3.05
205b,2309,1f4f,-11,-45.3,2.4
206b,2329,1f34,-11.8,-46.9,3.75
206d,232e,1f60,-11.9,-47.15,1.55
209d,2353,1ede,-14.3,-49,8.05
2099,2390,1e9d,-14.1,-52.05,11.3
2078,23c0,1ea0,-12.45,-54.45,11.15
1fbe,2414,1ee1,-3.15,-58.65,7.9
1fbe,2414,1ee1,-3.15,-58.65,7.9
1fa7,2430,1.00E+96,-2,-60.05,11.65
1fb1,2432,1e3e,-2.5,-60.15,16.05
1fca,2424,1e0c,-3.75,-59.45,18.55
1fed,2415,1.00E+29,-5.5,-58.7,17.1
1fee,2440,1.00E+60,-5.55,-60.85,14.35
1fda,24af,1ea9,-4.55,-66.4,10.7
1fb4,255a,1ed9,-2.65,-74.95,8.3
1fba,25d9,1f05,-2.95,-81.3,6.1
1fcc,2651,1f1c,-3.85,-87.3,4.95
1ff8,26c9,1f1a,-6.05,-93.3,5.05
2031,274f,1f35,-8.9,-100,3.7
2063,27c2,1f2f,-11.4,-105.75,4
20c1,2963,1f11,-16.1,-126.6,5.5
20c1,2963,1f11,-16.1,-126.6,5.5
2124,29d4,1f03,-21.05,-132.25,6.2
2124,29d4,1f03,-21.05,-132.25,6.2
214d,2893,1f1e,-23.1,-116.2,4.85
218f,26c5,1eec,-26.4,-93.1,7.35
218f,26c5,1eec,-26.4,-93.1,7.35
21b4,2520,1.00E+98,-28.25,-72.05,11.55
2158,22ab,1.00E+36,-23.65,-40.6,16.45
20db,2200,1.00E+60,-17.4,-32.05,14.35
2029,2174,1eaf,-8.5,-25.05,10.4
1f9a,20c6,1ed0,-1.35,-16.35,8.75
1f48,2028,1f17,2.75,-8.45,5.2
1f35,1faa,1f0f,3.7,-2.15,5.6
1f3f,1f72,1ef8,3.2,0.65,6.75
1f2e,1f8d,1ef6,4.05,-0.7,6.85
1f29,1fc4,1ed2,4.3,-3.45,8.65
1f38,1fff,1ec0,3.55,-6.4,9.55
1f7a,20be,1ed2,0.25,-15.95,8.65
1f8c,2103,1ec7,-0.65,-19.4,9.2
1f8c,2103,1ec7,-0.65,-19.4,9.2
1fca,21b1,1ef9,-3.75,-28.1,6.7
1fca,21b1,1ef9,-3.75,-28.1,6.7
